PSRJ lambda beta
J0002+6216 37.5466 54.0672
J0006+1834 8.9857 16.4024
J0007+7303 53.1453 60.9363
J0011+08 5.9091 6.3423
J0012+5431 31.3303 47.2854
J0014+4746 26.4033 41.5101
J0021-0909 1.3342 -10.5767
J0023+0923 9.0704 6.3091
J0024-7204C -48.7589 -62.333
J0024-7204D -48.7312 -62.3605
J0024-7204E -48.7538 -62.3627
J0024-7204F -48.7452 -62.3494
J0024-7204G -48.7377 -62.3534
J0024-7204H -48.7227 -62.3472
J0024-7204I -48.7377 -62.3534
J0024-7204J -48.7291 -62.3381
J0024-7204L -48.7525 -62.3513
J0024-7204M -48.7832 -62.3461
J0024-7204N -48.7304 -62.3532
J0024-7204O -48.7496 -62.3518
J0024-7204P -48.7051 -62.3623
J0024-7204Q -48.7179 -62.3606
J0024-7204R -48.7437 -62.3545
J0024-7204S -48.7448 -62.3494
J0024-7204T -48.7364 -62.3539
J0024-7204U -48.7145 -62.3496
J0024-7204V -48.7476 -62.3528
J0024-7204W -48.7452 -62.3527
J0024-7204X -48.6136 -62.3398
J0024-7204Y -48.7482 -62.3465
J0024-7204Z -48.7515 -62.3545
J0024-7204aa -48.7476 -62.3528
J0024-7204ab -48.7414 -62.3548
J0024-7204ac -48.7233 -62.3459
J0024-7204ad -48.7233 -62.3459
J0026+6320 42.1597 53.0378
J0026-1955 -2.1912 -20.8605
J0030+0451 8.9104 1.4457
J0033+57 36.9416 47.5935
J0033+61 40.6343 50.7847
J0034+69 50.7827 57.162
J0034-0534 5.6724 -8.5284
J0034-0721 4.9002 -10.1468
J0036-1033 4.0779 -13.276
J0038-2501 -1.9512 -26.6068
J0039+35 24.163 28.7657
J0040+5716 38.4071 47.2228
J0043-73 -49.3381 -64.1472
J0045-7042 -44.2573 -63.1026
J0045-7319 -49.4575 -64.3465
J0048+3412 25.3575 26.5217
J0050+03 13.0967 -1.4883
J0051+0423 13.5484 -1.0489
J0052-72 -46.3833 -64.258
J0054+66 48.72 53.1676
J0054+69 52.7075 55.701
J0054+6946 53.1796 55.9153
J0055+5117 36.4685 40.9961
J0056+4756 34.4134 38.0383
J0057-7201 -45.8367 -64.5937
J0058+4950 35.941 39.5519
J0058+6125 44.7519 49.2892
J0058-7218 -46.3829 -64.753
J0059+69 53.8608 55.754
J0100+8023 69.5462 62.5442
J0100-7211 -45.9642 -64.8742
J0101-6422 -31.334 -60.7652
J0102+4839 36.0474 38.1501
J0102+6537 49.4377 52.3177
J0103+54 39.7403 42.7307
J0104+64 48.0231 50.947
J0106+4855 36.8674 38.0996
J0107+1322 20.7017 5.7183
J0108+6608 50.7323 52.3541
J0108+6905 53.9236 54.6191
J0108-1431 9.8307 -20.0595
J0109+11 20.2983 3.8913
J0110-22 6.8862 -27.0391
J0111+6624 51.3828 52.371
J0111-7131 -43.6945 -65.3525
J0113-7220 -45.3631 -65.8019
J0115+6325 49.1337 49.7152
J0117+5914 45.9029 46.1236
J0121+53 42.3369 40.953
J0122+1416 24.2829 5.2288
J0125+62 49.8539 48.3574
J0125-2327 9.7765 -29.8492
J0131-7310 -46.1276 -67.3598
J0133-6957 -38.3527 -66.3523
J0134-2937 8.7352 -36.2845
J0137+1654 28.7212 6.3143
J0137+6349 52.4826 48.6931
J0139+3336 35.7298 21.5932
J0139+5621 47.3401 42.146
J0139+5814 48.5588 43.8039
J0141+6009 50.2808 45.3067
J0141+63 52.4495 47.8823
J0146+31 36.0025 18.7289
J0146+6145 52.1575 46.3796
J0147+5922 50.6519 44.2379
J0151-0635 23.3992 -16.844
J0152+0948 29.5869 -1.6278
J0152-1637 19.5008 -26.2186
J0154+1833 33.1677 6.3891
J0156+04 28.4012 -7.346
J0156+3949 41.7809 26.0026
J0157+6212 54.1688 46.09
J0158+21 34.9348 8.4767
J0201+7005 61.1101 52.5643
J0203-0150 28.1054 -13.5019
J0205+6449 57.2037 47.9179
J0206-4028 9.3323 -48.9036
J0209+5759 53.1901 41.6868
J0210+5845 53.8531 42.2838
J0211-8159 -70.1899 -69.8362
J0212+5222 50.6076 36.4204
J0214+5222 50.9608 36.2892
J0215+6218 56.8766 45.1597
J0218+4232 47.0489 27.0116
J0220+3626 45.1728 21.1464
J0227+3356 45.5355 18.3533
J0229+20 41.6533 5.9352
J0231+7026 64.8419 51.529
J0241+16 43.0001 0.342
J0242+62 61.1364 44.3673
J0243+6027 59.7791 42.0736
J0244+14 43.2226 -1.4235
J0248+4230 52.8832 25.0367
J0248+6021 60.5375 41.7281
J0250+5854 60.09 40.2864
J0251+2606 48.0836 9.274
J0255-5304 8.5283 -64.0793
J0301+35 52.8773 17.1479
J0302+2252 49.6707 5.4262
J0304+1932 49.1995 2.1038
J0305+11 47.0731 -5.7806
J0307+7443 72.2141 53.9407
J0312-0921 42.6697 -26.1733
J0317+13 50.661 -4.5945
J0318+0253 47.9223 -14.846
J0323+3944 58.8044 20.4528
J0324+5239 63.1458 32.7731
J0325+6744 69.6639 47.0262
J0329+1654 54.151 -1.9689
J0332+5434 65.1904 34.2599
J0335+4555 62.857 25.8432
J0335+6623 70.411 45.3827
J0337+1715 56.2299 -2.1129
J0337+79 78.2285 57.0562
J0340+4130 62.6141 21.3345
J0341+5711 67.4201 36.4366
J0343+06 54.8798 -13.3615
J0343+5312 66.4723 32.5329
J0343-3000 43.35 -48.0704
J0344-0901 51.4496 -28.0405
J0348+0432 55.9701 -15.1101
J0349+2340 60.4535 3.5151
J0355+28 62.4838 7.4969
J0357+3205 63.9595 11.3698
J0357+5236 68.7945 31.4032
J0357-05 56.0574 -25.0772
J0358+4155 66.1544 20.9735
J0358+5413 69.4417 32.921
J0358+6627 73.4966 44.7535
J0359+5414 69.5407 32.9297
J0401-7608 -58.787 -76.8256
J0402+4825 68.576 27.1516
J0405+3347 65.648 11.9593
J0406+30 65.2693 8.9749
J0406+6138 72.8951 39.88
J0407+1607 63.0721 -4.737
J0408+551 71.1887 33.3744
J0408+552 71.1887 33.3744
J0410-31 51.3785 -50.9625
J0413+58 72.8204 36.1455
J0414+31 67.1736 9.6367
J0415+6954 77.0763 47.6282
J0417+35 68.8204 14.172
J0417+61 74.3227 39.0881
J0418+5732 73.5917 35.5362
J0418+6635 76.2636 44.3534
J0418-4154 47.6037 -61.6446
J0419+44 70.6391 22.2432
J0420-5022 39.7265 -69.4942
J0421+3255 69.1201 11.2581
J0421-0345 62.7351 -24.8917
J0426+4933 73.0679 27.4919
J0435+2749 71.3952 5.7263
J0437-4715 50.4682 -67.8729
J0447-04 69.5414 -26.7357
J0448-2749 65.2294 -49.7472
J0449-7031 -39.4964 -82.4412
J0450-1248 69.074 -34.9812
J0451-67 -14.1195 -83.303
J0452-1759 68.8316 -40.1983
J0453+1559 73.9905 -6.5344
J0454+4529 77.7177 22.7476
J0454+5543 79.0384 32.9138
J0455-6951 -36.2699 -83.2182
J0456-69 -30.7645 -83.4992
J0456-7031 -41.3534 -82.9703
J0457+23 75.6143 0.9093
J0457-6337 16.6427 -82.7843
J0457-69 -35.8623 -83.3516
J0458-0505 72.6948 -27.6068
J0458-67 -18.0079 -83.9784
J0459-0210 73.4167 -24.7465
J0501+4516 78.8471 22.4052
J0502+4654 79.2207 24.0028
J0502-6617 -3.9518 -84.2927
J0506+50 80.4049 27.5158
J0509+0856 77.1135 -13.9346
J0509+37 79.5828 14.554
J0509+3801 79.7362 15.0309
J0511-6508 10.543 -84.8938
J0514-4002A 70.6013 -62.7158
J0514-4002B 70.6017 -62.7155
J0514-4002C 70.6012 -62.7159
J0514-4002D 70.6016 -62.7156
J0514-4002E 70.6013 -62.7154
J0514-4002F 70.6014 -62.7157
J0514-4002G 70.601 -62.7155
J0514-4002H 70.6008 -62.7155
J0514-4002I 70.6018 -62.7156
J0514-4002J 70.6014 -62.7155
J0514-4002K 70.6021 -62.7156
J0514-4002L 70.6021 -62.7156
J0514-4002M 70.6021 -62.7156
J0514-4002N 70.6015 -62.7152
J0514-4408 69.1498 -66.7682
J0517+2212 80.1212 -0.8594
J0518+5125 82.6657 28.2579
J0518+5416 83.013 31.0903
J0519+44 82.1279 20.8404
J0519-6932 -42.9945 -85.2139
J0520-2553 76.4712 -48.8645
J0521-68 -33.3593 -85.8334
J0522-6847 -36.1864 -85.7986
J0523-7125 -60.5092 -84.1618
J0525+1115 81.4644 -11.932
J0525-6607 4.1658 -86.5561
J0528+2200 82.7859 -1.2435
J0529-0715 81.1155 -30.4591
J0529-6652 -9.5283 -87.0058
J0530-39 77.4743 -62.1136
J0532-6639 -5.2256 -87.319
J0532-69 -54.1898 -85.8789
J0533+0402 82.9801 -19.2443
J0533+6759 86.5717 44.6265
J0533-4524 77.0717 -68.5531
J0534+2200 84.0976 -1.2945
J0534+34 84.6303 10.7961
J0534-13 82.1375 -36.262
J0534-6703 -14.2797 -87.4511
J0535-66 -10.0377 -87.5767
J0535-6935 -55.195 -86.185
J0536-7543 -81.0763 -80.6457
J0537-69 -55.7026 -86.5169
J0537-6910 -53.8511 -86.6565
J0538+2817 85.2325 4.9358
J0540+3207 85.8495 8.7575
J0540-6919 -58.4082 -86.6649
J0540-7125 -72.5117 -84.8353
J0542-68 -47.5658 -87.6121
J0543+2329 86.1395 0.1018
J0543-6851 -58.1986 -87.2426
J0544+20 86.3049 -2.5553
J0545-03 85.8135 -26.5515
J0546+2441 86.9284 1.2859
J0550+09 87.5844 -13.5693
J0554+3107 88.7224 7.6953
J0555+3948 88.9991 16.3651
J0555-7056 -84.7163 -85.5919
J0556-67 -69.6528 -89.0134
J0557+1550 89.3992 -7.603
J0557-2948 89.1119 -53.2421
J0600-5756 90.6866 -81.3872
J0601-0527 90.5637 -28.9024
J0605+3757 91.0369 14.5253
J0608+00 92.3904 -22.771
J0608+1635 92.1383 -6.8369
J0609+2130 92.3229 -1.9184
J0610-2100 93.3423 -44.4174
J0611+04 92.9859 -19.31
J0611+1436 92.7687 -8.7977
J0611+30 92.45 6.8513
J0612+3721 92.6227 13.9503
J0612+37216 92.607 13.9507
J0613+3731 92.6986 14.1189
J0613-0200 93.799 -25.4071
J0614+2229 93.2992 -0.8993
J0614+83 90.8194 59.804
J0614-3329 95.4108 -56.8711
J0621+0336 95.6167 -19.7234
J0621+1002 95.4053 -13.295
J0621+2514 94.7913 1.8831
J0621-55 105.6412 -79.2413
J0622+3749 94.5203 14.4681
J0623+0340 96.3005 -19.6408
J0624-0424 96.8545 -27.7087
J0625+10 96.502 -13.0274
J0627+0649 97.2201 -16.433
J0627+0706 97.1649 -16.1578
J0627+16 96.5833 -7.0839
J0628+0909 97.2798 -14.1049
J0629+2415 96.6294 0.9895
J0630+19 97.0925 -3.6377
J0630-0046 98.3361 -23.9876
J0630-2834 100.9582 -51.7251
J0631+0646 98.2519 -16.4407
J0631+1036 97.9213 -12.6059
J0633+0632 98.7479 -16.6405
J0633+1746 98.1051 -5.4309
J0633-2015 100.7226 -43.3833
J0635+0533 99.2185 -17.6043
J0636+5128 96.3631 28.2431
J0636-23 101.9783 -46.0658
J0636-3044 103.5842 -53.8472
J0636-4549 107.745 -68.7027
J0641+07 100.5775 -15.3289
J0645+5158 98.0585 28.8526
J0645+80 93.5762 56.8536
J0646+0905 101.8305 -13.8659
J0646-54 121.0992 -77.0668
J0647+0913 102.0073 -13.715
J0648-27 106.6603 -49.7476
J0652-0142 104.357 -24.4998
J0653+06 105.1013 -29.014
J0653+4706 99.8594 24.1215
J0653+8051 93.9123 57.6085
J0656-2228 108.6 -45.0051
J0656-5449 127.0435 -76.4278
J0658+0022 105.7661 -22.2693
J0658+2936 102.608 6.7984
J0659+1414 104.6435 -8.4438
J0659-36 113.0537 -58.2646
J0700+6418 98.6827 41.32
J0702-4956 123.3452 -71.5729
J0709+0458 108.069 -17.3807
J0709-5923 145.8089 -79.4036
J0711+0931 108.1107 -12.7973
J0711-6830 -155.9388 -82.8886
J0719-2545 116.7478 -47.3692
J0720-3125 119.0633 -52.8604
J0721-2038 116.1797 -42.2357
J0725-1635 116.2027 -38.1219
J0726-2612 119.168 -47.4928
J0729-1448 117.054 -36.1768
J0729-1836 118.061 -39.8953
J0732+2314 111.1883 1.4963
J0733-2345 120.7159 -44.7461
J0734-1559 118.9553 -37.0764
J0736-6304 172.3879 -79.2543
J0737-2202 121.5256 -42.8367
J0737-3039A 124.6445 -51.1992
J0737-3039B 124.6445 -51.1992
J0738+6904 102.5187 46.6993
J0738-4042 130.2886 -60.7502
J0740+6620 103.7591 44.1025
J0741+17 114.1402 -4.2982
J0742+4110 110.1471 19.5021
J0742+4334 109.7729 21.8746
J0742-2822 125.3341 -48.7135
J0744-2525 124.5936 -45.7824
J0745-5353 147.9099 -72.0675
J0746-4529 137.3449 -64.5957
J0747+6646 104.5395 44.6966
J0749-4247 135.962 -61.9238
J0750+57 107.9383 35.2608
J0750-6846 -155.4931 -79.3605
J0751+1807 116.3336 -2.8076
J0753-0816 122.4076 -28.6279
J0754+3231 114.3774 11.4874
J0758-1528 125.7135 -35.3083
J0758-30 130.8796 -49.3379
J0802-5613 158.8882 -72.3907
J0803+34 115.7676 13.5892
J0803-0942 125.4879 -29.4305
J0804-3647 136.6108 -55.3141
J0806+08 121.8972 -11.7339
J0806-4123 140.5539 -59.3934
J0807-5421 157.0749 -70.4408
J0808-3937 139.8127 -57.6588
J0809-4753 148.0732 -64.9345
J0811+37 116.7215 17.021
J0812-3905 140.7518 -56.858
J0813+22 120.7763 2.0827
J0814+7429 104.1983 52.7098
J0815+0939 123.8135 -9.8976
J0815+4611 115.441 25.7165
J0818-3049 137.7652 -48.6728
J0818-3232 138.5662 -50.3107
J0820-1350 131.3953 -32.3814
J0820-3826 143.091 -55.576
J0820-3921 143.7093 -56.4296
J0820-4114 145.0039 -58.1755
J0821-4221 146.4244 -59.0532
J0821-4300 147.0672 -59.6132
J0823+0159 127.6507 -16.8974
J0824+0028 128.3595 -18.2944
J0826+2637 122.5983 7.2428
J0827+53 115.4856 32.7806
J0828-3417 142.5994 -51.1756
J0831-4406 151.128 -59.7646
J0834-4159 150.0539 -57.6682
J0834-60 179.0393 -72.11
J0835-3707 146.5114 -53.2361
J0835-4510 153.37 -60.3624
J0836-4233 151.1026 -58.0102
J0837+0610 130.043 -11.9775
J0837-24 140.4325 -41.5822
J0837-4135 150.6407 -57.0444
J0838-2621 141.321 -43.0048
J0838-3947 149.523 -55.3431
J0839-66 -161.5068 -74.4042
J0840-5332 165.8131 -66.7266
J0842-4851 159.5602 -62.8558
J0843+0719 131.3195 -10.4551
J0843+67 111.7271 46.8356
J0843-5022 161.8506 -63.9961
J0846-3533 148.7359 -50.8817
J0847-4316 155.3264 -57.5922
J0848+16 130.0681 -1.0443
J0849+8028 102.4263 58.89
J0849-6322 -170.2191 -72.134
J0854+5449 119.3062 35.7337
J0855-3331 150.1854 -48.2151
J0855-4644 161.0247 -59.8321
J0855-4658 161.205 -60.0551
J0856-6137 -173.5075 -70.5082
J0857+3349 127.0929 15.9073
J0857-4424 159.2823 -57.6418
J0900-3144 150.5448 -46.1467
J0901-4624 162.3869 -58.989
J0902-6325 -167.8812 -70.9028
J0904-4246 159.7462 -55.5848
J0904-7459 -130.3559 -73.2721
J0905-4536 162.5898 -57.9662
J0905-5127 169.6431 -62.6688
J0905-6019 -174.9182 -68.9339
J0907-5157 170.7041 -62.9201
J0908-1739 145.8589 -32.4164
J0908-4913 167.4747 -60.6247
J0909-7212 -139.9802 -72.9152
J0910+77 107.0157 56.8562
J0912-3851 158.6437 -51.4533
J0919-42 162.9105 -53.6019
J0919-6040 -171.3079 -67.7451
J0921+6254 119.4402 44.513
J0921-5202 174.5471 -61.5269
J0922+0638 140.8302 -8.3328
J0922-4949 171.7645 -59.7693
J0923-31 157.0264 -44.2633
J0924-5302 176.4525 -62.073
J0924-5814 -175.1086 -65.7097
J0925+6103 121.1327 43.0412
J0927+2345 136.7493 8.343
J0928+06 142.5083 -8.2117
J0928+30 134.7631 14.9487
J0930-2301 153.8667 -35.5711
J0931-1902 152.377 -31.7767
J0932-3217 159.5321 -43.7644
J0932-5327 178.9761 -61.5596
J0934-4154 167.0354 -51.9873
J0934-5249 178.5975 -60.8811
J0935+33 135.1558 17.7835
J0940-5428 -177.6198 -61.4608
J0941-39 166.9487 -49.433
J0941-5244 -179.8533 -60.0961
J0942-5552 -175.2682 -62.343
J0942-5657 -173.4445 -63.032
J0943+1631 142.608 2.6974
J0943+2253 140.5 8.6997
J0944+4106 134.0064 25.8399
J0944-1354 153.5557 -25.8375
J0945-4833 176.0759 -56.4491
J0946+0951 145.4151 -3.3782
J0947+2740 139.6774 13.5031
J0949-6902 -147.1537 -69.0
J0951-71 -140.8984 -69.544
J0952-0607 152.4249 -17.8935
J0952-3839 168.8633 -47.5057
J0953+0755 147.7071 -4.621
J0954-5430 -174.7128 -60.185
J0955-5304 -176.3269 -58.9775
J0955-6150 -162.6273 -64.9719
J0957-06 153.67 -17.6122
J0957-5432 -173.8724 -59.8202
J0959-4809 178.9151 -54.765
J1000+08 149.3108 -3.6053
J1000-5149 -176.7677 -57.5439
J1001-5507 -172.3029 -59.8807
J1001-5559 -171.1912 -60.5495
J1001-5939 -165.4226 -63.0113
J1002-5559 -170.8088 -60.3778
J1002-5919 -165.8226 -62.7203
J1003-4747 179.435 -54.0698
J1005+30 142.5831 17.3127
J1006-6311 -158.2202 -64.6979
J1010+15 148.8289 4.2376
J1012+5307 133.3611 38.7553
J1012-2337 164.918 -32.1766
J1012-4235 176.7892 -48.9109
J1012-5830 -165.1915 -61.1563
J1012-5857 -164.5076 -61.4736
J1013-5934 -163.4168 -61.8097
J1014-48 -177.0258 -53.8196
J1015-5719 -166.4426 -60.0782
J1016-5345 -171.0164 -57.4111
J1016-5819 -164.8767 -60.7114
J1016-5857 -163.8855 -61.1277
J1017+3011 145.1532 18.2349
J1017-5621 -167.4898 -59.2464
J1017-7156 -137.5722 -67.7362
J1018-1523 162.2798 -23.758
J1018-1642 163.1822 -25.2585
J1019-5749 -164.9347 -60.0164
J1020-5921 -162.5731 -61.03
J1020-6026 -160.8887 -61.7417
J1021-5601 -167.1216 -58.6041
J1022+1001 153.8659 -0.064
J1022-5813 -163.87 -60.0482
J1023+0038 157.4921 -8.7302
J1023-5746 -164.4213 -59.6766
J1024-0719 160.7344 -16.0447
J1028-5819 -162.6552 -59.5412
J1031-6117 -157.7215 -61.2889
J1032-5206 -169.6764 -54.594
J1032-5911 -160.7493 -59.8034
J1034-3224 174.9332 -37.9045
J1035-6345 -153.0229 -62.4512
J1035-6720 -146.3101 -64.4096
J1036-4926 -171.6691 -52.1379
J1036-6559 -148.8193 -63.6194
J1036-8317 -106.9883 -68.0822
J1038+0032 160.9642 -7.46
J1038-5831 -160.6206 -58.7533
J1041-1942 170.0476 -25.7823
J1042-5521 -164.0541 -56.1251
J1043-6116 -155.6946 -60.1014
J1044-5737 -160.7373 -57.5344
J1045-0436 164.2479 -11.0433
J1045-4509 -173.4815 -47.7148
J1046+0304 161.9314 -4.3436
J1046-5813 -159.6235 -57.8012
J1047-3032 176.8297 -34.9917
J1047-6709 -145.2575 -63.3309
J1048+2339 154.4516 14.8788
J1048+5349 138.9879 41.9304
J1048-5832 -158.8884 -57.8383
J1048-5838 -158.7512 -57.9118
J1049+5822 135.9184 45.9026
J1049-5833 -158.5729 -57.7073
J1050-5953 -156.717 -58.6036
J1052-5954 -156.2707 -58.3899
J1052-6348 -150.4082 -60.9194
J1054-5943 -156.151 -58.0459
J1054-5946 -156.1513 -58.1251
J1054-6452 -148.4744 -61.4677
J1055-6022 -155.1024 -58.4236
J1055-6028 -154.9933 -58.5031
J1055-6236 -151.8359 -59.9006
J1055-6905 -140.6809 -63.6795
J1056-5709 -159.163 -56.0631
J1056-6258 -151.1993 -60.0916
