PSRJ |beta|
J0011+08 6.3423
J0021-0909 10.5767
J0023+0923 6.3091
J0030+0451 1.4457
J0034-0534 8.5284
J0034-0721 10.1468
J0036-1033 13.276
J0050+03 1.4883
J0051+0423 1.0489
J0107+1322 5.7183
J0109+11 3.8913
J0122+1416 5.2288
J0137+1654 6.3143
J0152+0948 1.6278
J0154+1833 6.3891
J0156+04 7.346
J0158+21 8.4767
J0203-0150 13.5019
J0229+20 5.9352
J0241+16 0.342
J0244+14 1.4235
J0251+2606 9.274
J0302+2252 5.4262
J0304+1932 2.1038
J0305+11 5.7806
J0317+13 4.5945
J0318+0253 14.846
J0329+1654 1.9689
J0337+1715 2.1129
J0343+06 13.3615
J0349+2340 3.5151
J0355+28 7.4969
J0357+3205 11.3698
J0405+3347 11.9593
J0406+30 8.9749
J0407+1607 4.737
J0414+31 9.6367
J0417+35 14.172
J0421+3255 11.2581
J0435+2749 5.7263
J0453+1559 6.5344
J0457+23 0.9093
J0509+0856 13.9346
J0509+37 14.554
J0517+2212 0.8594
J0525+1115 11.932
J0528+2200 1.2435
J0534+2200 1.2945
J0534+34 10.7961
J0538+2817 4.9358
J0540+3207 8.7575
J0543+2329 0.1018
J0544+20 2.5553
J0546+2441 1.2859
J0550+09 13.5693
J0554+3107 7.6953
J0557+1550 7.603
J0605+3757 14.5253
J0608+1635 6.8369
J0609+2130 1.9184
J0611+1436 8.7977
J0611+30 6.8513
J0612+3721 13.9503
J0612+37216 13.9507
J0613+3731 14.1189
J0614+2229 0.8993
J0621+1002 13.295
J0621+2514 1.8831
J0622+3749 14.4681
J0625+10 13.0274
J0627+16 7.0839
J0628+0909 14.1049
J0629+2415 0.9895
J0630+19 3.6377
J0631+1036 12.6059
J0633+1746 5.4309
J0646+0905 13.8659
J0647+0913 13.715
J0658+2936 6.7984
J0659+1414 8.4438
J0711+0931 12.7973
J0732+2314 1.4963
J0741+17 4.2982
J0751+1807 2.8076
J0754+3231 11.4874
J0803+34 13.5892
J0806+08 11.7339
J0813+22 2.0827
J0815+0939 9.8976
J0826+2637 7.2428
J0837+0610 11.9775
J0843+0719 10.4551
J0848+16 1.0443
